,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
0,OO,4492,GJT,SLC,6.0,785.0,,0
1,EV,5364,MGM,MEM,6.0,375.0,,0
2,FL,1016,BOS,MCO,7.0,,205.0,0
3,F9,231,BNA,DEN,,,,0
4,AS,662,SEA,DFW,5.0,730.0,,0
5,WN,3138,SAN,SAT,,,155.0,1
6,WN,793,JAN,HOU,3.0,,,1
7,WN,3237,PHL,MDW,6.0,1035.0,,0
8,WN,359,LAS,SNA,3.0,,,1
9,F9,843,MDW,DEN,,940.0,,0
10,WN,973,DEN,BWI,4.0,,,1
11,WN,1119,OMA,DEN,4.0,,100.0,1
12,WN,537,ONT,SMF,2.0,1145.0,,1
13,UA,418,SAN,DEN,2.0,,148.0,1
14,AA,1845,MIA,SJU,,,,1
15,OO,6407,TUL,LAX,4.0,,204.0,0
16,OO,6893,SFO,PSP,4.0,559.0,83.0,0
17,WN,193,MCI,PHX,,925.0,,0
18,9E,4337,ATL,SGF,,1170.0,,0
19,UA,467,DEN,SJC,1.0,1292.0,,0
20,US,1972,CLT,EWR,,914.0,,1
21,EV,5237,BOS,DCA,3.0,875.0,,0
22,EV,5572,CHS,ATL,,1085.0,,1
23,OO,6247,FAT,LAX,7.0,721.0,75.0,1
24,WN,380,MDW,JAN,2.0,,125.0,1
25,MQ,4318,ORD,BWI,5.0,845.0,115.0,1
26,CO,214,DFW,IAH,3.0,340.0,,1
27,YV,2833,TUS,PHX,1.0,,47.0,0
28,WN,1675,SLC,PDX,,,125.0,1
29,AA,1267,MIA,SJU,,1000.0,,1
30,DL,1040,COS,ATL,4.0,400.0,,1
31,DL,1531,DCA,MEM,6.0,370.0,149.0,1
32,MQ,3905,DAY,ORD,,475.0,80.0,0
33,WN,313,BWI,CLE,7.0,990.0,75.0,0
34,OO,6761,IAD,MSY,,737.0,,0
35,WN,1112,SEA,SLC,7.0,1095.0,110.0,1
36,OH,6643,BOS,DCA,4.0,395.0,,1
37,US,1014,FLL,CLT,,,118.0,0
38,XE,2356,BHM,IAH,,,,1
39,UA,672,ORD,LGA,2.0,,132.0,0
40,FL,953,FLL,BWI,7.0,631.0,145.0,0
41,DL,2003,OMA,MSP,,436.0,74.0,0
42,YV,7304,JAX,IAD,6.0,888.0,,0
43,EV,5185,SAV,ATL,,692.0,73.0,1
44,OO,6297,BIL,DEN,1.0,,,0
45,OO,6239,BHM,DEN,7.0,450.0,,1
46,WN,1162,AUS,HOU,3.0,610.0,,0
47,WN,3920,OKC,DEN,4.0,,100.0,1
48,OO,6480,YUM,LAX,5.0,457.0,,0
49,OO,6820,RDD,SFO,5.0,,78.0,0
50,WN,1120,TUS,LAX,1.0,880.0,,0
51,EV,5177,ATL,CHA,,810.0,,0
52,AA,1921,EWR,MIA,4.0,360.0,185.0,0
53,XE,3012,IAH,IAD,,,166.0,1
54,UA,354,SAN,DEN,,908.0,,0
55,UA,604,ORD,IAH,7.0,1260.0,,0
56,AA,456,DFW,TPA,,,135.0,0
57,CO,1155,PBI,EWR,,,173.0,0
58,MQ,3652,SDF,MIA,,890.0,,0
59,FL,984,ATL,PIT,,,89.0,0
60,DL,2005,CVG,SLC,7.0,1140.0,237.0,0
61,DL,2184,SLC,CVG,,,,0
62,UA,199,MCO,ORD,7.0,857.0,,0
63,9E,3981,MSP,DSM,3.0,,,0
64,XE,2467,GPT,IAH,,,,0
65,WN,1174,BWI,CLE,3.0,,75.0,1
66,WN,1259,BNA,SAT,4.0,515.0,,0
67,WN,324,GEG,DEN,,390.0,,0
68,DL,1435,ORF,ATL,,583.0,,0
69,AA,689,ORF,DFW,1.0,,,0
70,AA,1119,DCA,MIA,6.0,,,1
71,XE,2207,ICT,IAH,,,,1
72,9E,3657,SYR,ATL,3.0,,154.0,1
73,DL,2760,MIA,ATL,,820.0,,1
74,MQ,2872,DFW,LBB,7.0,705.0,,1
75,MQ,3956,CID,ORD,,515.0,,1
76,OO,6976,ORD,CLE,,,71.0,0
77,OO,7776,SLC,RKS,,,59.0,0
78,AA,1380,DFW,IND,1.0,,,0
79,DL,1026,DTW,ATL,1.0,,,1
80,EV,5244,MOB,ATL,,460.0,83.0,0
81,XE,3099,IAH,RDU,6.0,625.0,,0
82,WN,1015,OAK,SAN,,,,0
83,WN,1886,BDL,MDW,5.0,470.0,160.0,1
84,WN,1577,HOU,PHX,,435.0,,0
85,FL,433,MKE,ATL,,756.0,121.0,1
86,AA,902,MIA,DFW,1.0,810.0,,0
87,WN,221,DEN,PHX,,,120.0,1
88,DL,1598,FLL,LGA,,,,0
89,EV,5182,ATL,CAE,,,,0
90,UA,602,ORD,DCA,,422.0,,0
91,OH,6609,JFK,RIC,1.0,,,0
92,MQ,3701,DCA,ORD,1.0,,,1
93,MQ,3232,DFW,SGF,1.0,,,0
94,WN,1013,PHX,AUS,,,,0
95,WN,1070,STL,MDW,,590.0,,1
96,DL,1991,ATL,TPA,3.0,590.0,100.0,0
97,B6,594,MCO,HPN,7.0,734.0,,0
98,YV,7279,CHS,IAD,,617.0,,0
99,MQ,3712,ORD,XNA,7.0,,105.0,0
100,XE,5891,TUL,ORD,,,113.0,1
101,B6,1432,LGB,SFO,,1215.0,,1
102,WN,2131,TPA,BNA,,1130.0,110.0,1
103,WN,1394,SEA,OAK,,1215.0,125.0,0
104,WN,2009,DEN,MCI,5.0,,105.0,1
105,MQ,2872,DFW,LBB,,705.0,70.0,0
106,CO,1475,IAH,DFW,2.0,,,1
107,9E,3831,ALB,DTW,1.0,,,1
108,CO,1850,IAH,RDU,1.0,765.0,150.0,1
109,WN,3687,MCO,BUF,,,155.0,1
110,9E,4019,AUS,MEM,2.0,,,1
111,9E,3681,DTW,DLH,1.0,1175.0,124.0,0
112,OO,4860,SLC,ORD,7.0,,189.0,1
113,FL,872,MSP,ATL,5.0,,146.0,0
114,DL,2015,IAD,ATL,3.0,970.0,,0
115,MQ,3531,DFW,CLE,,1125.0,,1
116,F9,404,LAX,DEN,,,134.0,0
117,WN,3101,PHX,LAS,,1230.0,65.0,1
118,WN,1330,SMF,SAN,1.0,,85.0,1
119,EV,7107,IAD,LGA,,1055.0,85.0,1
120,B6,1292,PIT,BOS,2.0,,93.0,0
121,UA,407,ICT,DEN,3.0,,,0
122,F9,609,IND,DEN,,,165.0,0
123,AA,674,ORD,MIA,3.0,,185.0,1
124,US,1924,BNA,CLT,7.0,,78.0,0
125,AA,1843,BOS,ORD,,,,0
126,FL,596,ATL,ROC,,,128.0,1
127,UA,478,SFO,PDX,,,103.0,0
128,FL,1039,TPA,PIT,,967.0,,0
129,F9,834,SEA,DEN,1.0,,152.0,0
130,9E,4205,RIC,DTW,4.0,,115.0,0
131,OO,6383,SBA,SFO,2.0,1176.0,80.0,0
132,EV,5441,CVG,IAH,,555.0,,0
133,AA,632,LAS,DFW,,770.0,,0
134,WN,1782,OAK,ONT,5.0,800.0,70.0,1
135,OO,3110,MKE,CAK,6.0,475.0,,1
136,US,1208,PHX,PHL,,955.0,,1
137,US,1911,LGA,PHL,,360.0,,1
138,YV,2999,IAD,CLT,7.0,,,0
139,MQ,4085,ABE,ORD,,,,0
140,WN,47,HOU,CRP,,1170.0,50.0,1
141,AA,2024,DFW,BNA,,,100.0,1
142,XE,5941,ORD,LNK,2.0,,99.0,0
143,DL,1518,MCO,ATL,,,84.0,0
144,CO,155,PBI,EWR,,840.0,,0
145,DL,2214,SEA,MSP,,,193.0,1
146,WN,2239,MDW,SAN,5.0,,275.0,1
147,XE,2640,EWR,GRR,4.0,935.0,127.0,1
148,WN,2597,TUL,DAL,7.0,925.0,,1
149,XE,2453,IAH,BRO,,550.0,,1
150,B6,131,JFK,RSW,5.0,,190.0,1
151,MQ,4244,DSM,ORD,,,80.0,0
152,XE,5981,ORD,OKC,6.0,,,1
153,OO,6651,LAX,RNO,,,85.0,1
154,OH,6682,BWI,CVG,5.0,,,1
155,OO,6520,ORD,MBS,,795.0,,0
156,9E,4183,CHS,DTW,,,,1
157,DL,2147,LGA,ATL,,,160.0,1
158,UA,532,DEN,ORD,,,,1
159,FL,1411,CAK,RSW,,425.0,,1
160,WN,1854,DTW,MDW,,,75.0,0
161,UA,81,LAX,HNL,,530.0,344.0,0
162,DL,1581,TUS,ATL,,,203.0,1
163,WN,992,FLL,BUF,5.0,670.0,,0
164,AA,161,LAX,OGG,5.0,1035.0,360.0,0
165,B6,445,BOS,TPA,6.0,1230.0,199.0,1
166,OO,4855,BIL,SLC,7.0,,82.0,0
167,AA,1204,ABQ,DFW,7.0,,100.0,0
168,OH,6543,BHM,LGA,3.0,,148.0,1
169,AA,642,SAT,DFW,6.0,1040.0,,0
170,FL,82,FLL,ATL,6.0,857.0,116.0,0
171,MQ,3934,ORD,FSD,2.0,,100.0,0
172,EV,5522,ICT,ATL,7.0,408.0,,0
173,9E,4236,CLT,CVG,2.0,,,1
174,US,1165,PHL,CLT,,1245.0,105.0,1
175,WN,617,MDW,MCI,2.0,1185.0,,1
176,DL,1463,DCA,MSP,1.0,,176.0,1
177,DL,1499,DTW,MKE,,,74.0,1
178,B6,334,MCO,IAD,,,,0
179,AS,236,PDX,SAN,,415.0,145.0,1
180,DL,1552,MKE,DTW,7.0,625.0,78.0,1
181,F9,496,CAK,DEN,,375.0,,1
182,MQ,2805,ROW,DFW,,,,0
183,FL,81,ATL,FLL,7.0,934.0,111.0,0
184,UA,672,ORD,LGA,3.0,,,0
185,OO,6544,ASE,DEN,2.0,,,0
186,YV,7278,MCI,IAD,,491.0,,0
187,XE,2325,EWR,GSO,,990.0,104.0,0
188,FL,36,ATL,MDW,4.0,,,1
189,CO,169,LAS,EWR,,,287.0,1
190,EV,7127,HSV,IAD,,,,1
191,WN,3950,BWI,SAT,,1145.0,245.0,1
192,UA,517,IAD,DEN,,746.0,233.0,0
193,EV,4944,CAK,DTW,,815.0,,0
194,XE,2148,BNA,EWR,7.0,735.0,132.0,0
195,US,87,SEA,PHL,1.0,,,0
196,US,909,ORD,CLT,,455.0,114.0,1
197,FL,334,ATL,PHL,,,126.0,0
198,EV,5164,ATL,DAY,,841.0,,0
199,AA,1841,DFW,TUS,,,145.0,1
200,XE,2730,IAH,PHX,,455.0,,0
201,OO,6717,DEN,PSP,2.0,,,0
202,DL,2226,FLL,ATL,5.0,605.0,113.0,0
203,DL,1055,DTW,MSP,1.0,1185.0,,1
204,OO,6663,EUG,DEN,,,145.0,1
205,WN,3,LIT,DAL,4.0,360.0,70.0,0
206,OO,6680,DEN,ASE,,1297.0,,0
207,OO,6501,DEN,LIT,,960.0,116.0,1
208,WN,2706,MDW,BWI,4.0,735.0,,1
209,XE,2611,CLE,SDF,,,72.0,1
210,FL,683,ATL,ICT,,,148.0,0
211,DL,1799,ATL,PVD,5.0,574.0,,1
212,F9,652,DEN,MDW,5.0,,,0
213,XE,2843,DCA,CLE,5.0,,70.0,0
214,DL,2988,MCO,CVG,,970.0,,1
215,US,88,PHX,PDX,7.0,675.0,169.0,0
216,F9,214,DEN,AUS,2.0,,122.0,1
217,WN,729,LAS,RNO,,,,0
218,DL,1972,TPA,ATL,3.0,330.0,,0
219,AA,708,AUS,DFW,,,,0
220,WN,128,DEN,LAS,7.0,,120.0,1
221,DL,431,ATL,CLT,,,,0
222,WN,2240,LAS,TUS,5.0,840.0,,1
223,WN,958,DAL,STL,4.0,,100.0,1
224,US,1882,CLT,RIC,6.0,,,0
225,DL,2326,FLL,ATL,1.0,,115.0,0
226,OO,7798,SLC,COD,3.0,,,0
227,MQ,2710,XNA,DFW,,420.0,75.0,0
228,XE,2394,EWR,MCI,,965.0,199.0,1
229,MQ,4272,TVC,ORD,7.0,,75.0,1
230,MQ,4595,LGA,RDU,4.0,700.0,105.0,1
231,WN,2010,MCI,MDW,1.0,930.0,,1
232,OO,6335,LAX,SAN,2.0,,45.0,0
233,FL,520,TPA,BWI,,,,1
234,US,1470,PHL,SYR,,1240.0,,0
235,AS,882,KOA,SEA,,565.0,,0
236,US,1484,MCO,DCA,,710.0,123.0,1
237,XE,2518,EWR,OMA,,809.0,,0
238,UA,270,ONT,DEN,,,144.0,0
239,CO,1834,EWR,SEA,,,,0
240,WN,497,BWI,LAS,4.0,,,1
241,WN,2807,ONT,LAS,,630.0,,0
242,WN,1279,MCO,HOU,,,,1
243,DL,1754,LAX,ATL,2.0,695.0,,0
244,CO,476,SJU,EWR,,810.0,,0
245,EV,5242,ATL,SAV,,,72.0,0
246,OO,4782,SFO,LAX,5.0,,90.0,0
247,OO,6250,PDX,RDM,5.0,790.0,,0
248,9E,4137,ORF,DTW,3.0,1115.0,125.0,1
249,YV,2817,LAX,LAS,,,64.0,0
250,XE,3006,IAH,IAD,,,169.0,1
251,MQ,3661,MIA,IND,,900.0,,1
252,AA,1332,DFW,ATL,,,,0
253,WN,3584,DEN,MDW,,1210.0,,0
254,MQ,2868,MLI,DFW,,,,1
255,XE,2354,IAH,SDF,,510.0,133.0,1
256,WN,895,BNA,DEN,,1070.0,,1
257,UA,318,SFO,DEN,4.0,955.0,151.0,1
258,CO,166,SEA,IAH,,495.0,247.0,0
259,UA,68,LIH,LAX,,,327.0,0
260,OO,6548,IND,ORD,,,75.0,1
261,EV,5334,ABY,ATL,4.0,,,0
262,HA,595,OGG,HNL,,1275.0,,0
263,UA,723,DFW,DEN,1.0,931.0,,0
264,DL,1171,PIT,ATL,6.0,1046.0,127.0,0
265,WN,3023,TPA,MSY,,,105.0,0
266,9E,3980,MEM,MSN,1.0,,104.0,1
267,OO,7053,DEN,GEG,1.0,,,0
268,WN,2461,AMA,DAL,3.0,830.0,,1
269,CO,1452,AUS,IAH,5.0,660.0,57.0,0
270,WN,704,RNO,BOI,2.0,500.0,65.0,0
271,OO,7048,SLC,ORD,,,,1
272,AA,1873,MCO,MIA,,1220.0,65.0,1
273,XE,2866,MKE,IAH,1.0,815.0,172.0,1
274,MQ,3915,TUL,ORD,4.0,675.0,115.0,1
275,OH,6320,HTS,CVG,,465.0,,0
276,9E,4274,AMA,MEM,,355.0,,0
277,AA,1558,DFW,TUL,3.0,655.0,,1
278,MQ,3639,MIA,CLT,1.0,1290.0,,0
279,WN,1693,MCI,DAL,1.0,955.0,90.0,1
280,DL,2461,ATL,MSY,3.0,,99.0,1
281,DL,2425,BWI,ATL,3.0,1050.0,,0
282,XE,2860,MKE,IAH,,640.0,170.0,0
283,OO,6501,DEN,LIT,4.0,960.0,116.0,1
284,9E,3708,ATL,SAV,3.0,,,1
285,OO,6299,MKG,ORD,7.0,365.0,,0
286,WN,1106,LAX,OAK,,635.0,,0
287,OO,6923,SFO,ACV,4.0,,79.0,0
288,HA,303,HNL,LIH,7.0,535.0,37.0,0
289,CO,739,IAH,SAN,6.0,,,1
290,XE,2386,IAH,GSO,,,140.0,1
291,WN,2794,HOU,OAK,,,,1
292,OH,6706,RIC,DTW,5.0,751.0,,1
293,B6,684,DCA,BOS,,,83.0,0
294,OH,6573,CVG,ORD,4.0,,,0
295,DL,2533,BOS,MCO,4.0,,,1
296,DL,2518,MCO,ATL,2.0,990.0,100.0,0
297,WN,35,HOU,MSY,7.0,995.0,65.0,0
298,AS,61,CDV,ANC,6.0,,47.0,0
299,MQ,3704,ELP,ORD,5.0,,,1
300,B6,1222,RDU,BOS,,,,0
301,WN,2785,FLL,PHL,,710.0,,1
302,UA,634,ORD,EWR,3.0,365.0,125.0,0
303,WN,571,DEN,MDW,6.0,910.0,135.0,1
304,EV,5326,TRI,ATL,7.0,,,1
305,EV,5483,ATL,CLE,2.0,,,1
306,9E,4305,TYS,ATL,3.0,340.0,67.0,1
307,DL,1675,MEM,PHX,5.0,562.0,,0
308,WN,1065,BNA,DEN,1.0,750.0,180.0,1
309,UA,134,SFO,ORD,6.0,,263.0,1
310,WN,1566,DAL,MCI,7.0,,85.0,1
311,EV,5215,LWB,ATL,,,89.0,0
312,US,2182,DCA,LGA,1.0,,,0
313,XE,2724,IAH,GRK,,,60.0,1
314,MQ,2843,TXK,DFW,6.0,,,0
315,WN,1110,TPA,BDL,4.0,1190.0,165.0,1
316,MQ,3270,DFW,MOB,1.0,,95.0,0
317,WN,2885,SMF,PDX,7.0,870.0,,0
318,AA,819,OMA,DFW,6.0,935.0,115.0,0
319,AA,1086,DFW,HSV,1.0,1175.0,,1
320,FL,70,FLL,ATL,1.0,1181.0,,1
321,WN,945,PHL,RDU,,,,0
322,WN,2819,TPA,FLL,,,,0
323,EV,4950,GNV,ATL,2.0,608.0,,1
324,WN,1815,HOU,JAN,7.0,1165.0,,0
325,EV,7123,BTV,IAD,1.0,336.0,,0
326,EV,5532,ECP,ATL,3.0,,,0
327,OO,6819,PDX,SFO,4.0,900.0,103.0,1
